timestamp,portfolio_current_value,portfolio_peak_value,portfolio_drawdown,portfolio_btc_exposure,portfolio_cash_position,trading_total_trades,trading_successful_trades,trading_win_rate,trading_average_profit,trading_largest_win,trading_largest_loss,trading_profit_factor,market_condition,market_volatility,market_trend_strength,market_price_change_24h
2024-12-05T15:08:21.324004,10000.016007939937,0,0.0,10000.016007939937,0,0,0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,3.602867653594354e-05,1.6040381284705146e-06,0.0
2024-12-05T15:09:21.842944,10002.711588850509,0,0.0,10002.711588850509,0,0,0,0.0,0.0,0.0,0.0,0.0,NEUTRAL,9.912495260003131e-05,0.00027117042033272777,0.0
2024-12-05T15:10:24.780239,10002.824034867635,0,0.0,10002.823644430076,0,0,0,0.0,0.0,0.0,0.0,0.0,RANGING,9.222033733285358e-05,0.00022462959781300492,-3.903273300331636e-08
2024-12-05T15:11:28.072684,9994.8868297212,0,0.0,9995.079705875576,0,0,0,0.0,0.0,0.0,0.0,0.0,BEARISH,0.0002527550516980805,0.0004933887004182068,1.9297482569118646e-05
2024-12-05T15:12:30.934330,9991.6241382555,9991.621600411363,-2.539972227122015e-07,4995.813338049818,4995.8108002056815,1,0,0.0,0.0,0.0,0.0,0.0,RANGING,0.00023903125476898277,0.0011630743077756707,0.0
2024-12-05T15:13:35.739467,9992.79974574706,9991.621600411363,-9.61867944031429e-05,4996.772057477094,4995.8108002056815,1,0,0.0,0.0,0.0,0.0,0.0,BULLISH,0.00012137882248675197,0.0001343063937786749,3.90689798451659e-08
2024-12-05T15:14:39.899637,9992.584614651792,9991.621600411363,-0.00010996614373323175,3748.200424483714,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,STRONG_BULLISH,0.00020243999900319888,0.00035791235584285496,0.0
2024-12-05T15:15:43.990198,9990.785039135508,9991.621600411363,8.371162311998306e-05,3746.2652695249035,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,STRONG_BEARISH,0.00024758181794542604,0.00035024560974127104,0.0
2024-12-05T15:16:48.889243,9994.077891902674,9991.621600411363,-0.0002458351196176353,3749.557975877987,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,BULLISH,0.0002502102914284751,0.0003624722090698435,0.0
2024-12-05T15:17:53.324098,9998.266066798398,9991.621600411363,-0.0006650038054645355,3753.746004359625,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,STRONG_BULLISH,0.00034635405384954174,0.001995700567320202,-3.900479122885697e-08
2024-12-05T15:18:58.559987,10000.264765470012,9991.621600411363,-0.0008650412720086725,3755.7448494453247,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,NEUTRAL,0.0003350902334035697,0.0016494083752967238,0.0
2024-12-05T15:20:02.999208,10000.077794683722,9991.621600411363,-0.0008463285150842059,3755.558025073119,6244.519916024688,2,0,0.0,-9.094947017729282e-13,0.0,-1.8189894035458565e-12,0.0,NEUTRAL,0.0001401675786014569,0.0004827254541269547,3.8985974831875816e-08
2024-12-05T15:21:07.680174,9999.077859691577,9999.259632777856,1.8178654515850004e-05,1877.1874996339648,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,NEUTRAL,6.662125894790497e-05,0.0003647706905901727,-3.119859667022479e-07
2024-12-05T15:22:11.522989,9999.276323983524,9999.259632777856,-4.02668545471616e-06,1877.5017042599468,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,BULLISH,8.16710232725419e-05,0.00014765209232109935,4.8781035617720124e-05
2024-12-05T15:23:15.016930,9999.626180439154,9999.259632777856,-3.665748012954165e-05,1877.7364792449248,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,NEUTRAL,6.0819558723377583e-05,0.0002924294114783338,3.898685791739935e-08
2024-12-05T15:24:19.237887,9999.478229006463,9999.259632777856,-2.1853920149164212e-05,1877.5884546051914,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,NEUTRAL,5.6913159248500477e-05,4.622204508171982e-05,3.898993140180947e-08
2024-12-05T15:39:06.320090,10026.696021714573,9999.259632777856,-0.002670629575931547,1903.2191186340622,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,STRONG_BULLISH,0.004260102951039637,0.013586835467448643,-0.00044906772310362276
2024-12-05T15:40:10.938060,10026.71359140475,9999.259632777856,-0.0027848410179168335,1905.04043664194,8121.889774401272,3,0,0.0,-6.063298011819521e-13,0.0,-1.8189894035458565e-12,0.0,STRONG_BULLISH,0.00423899848639384,0.014622520784216199,-9.225730296682892e-05
